Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[disease]	Characteristics[genotype]	Characteristics[developmental stage]	Characteristics[progenitor cell type]	Characteristics[cell type]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_STRAND]	Protocol REF	Performer	Assay Name	Comment[technical replicate group]	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[stimulus]	Factor Value[sampling time point]	Unit[time unit]
SM38	ERS2599916	SAMEA4779971	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM38	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM38_S38	group 8	sequencing assay	ERX2700448	SM38_S38_R1_001.fastq.gz	SM38_S38_R1_001.fastq.gz	ERR2685864	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685864/ERR2685864.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM39	ERS2599917	SAMEA4779972	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM39	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM39_2_S39	group 9	sequencing assay	ERX2700449	SM39_2_S39_R1_001.fastq.gz	SM39_2_S39_R1_001.fastq.gz	ERR2685865	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685865/ERR2685865.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM39	ERS2599917	SAMEA4779972	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM39	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM39_3_S39	group 9	sequencing assay	ERX2700449	SM39_3_S39_R1_001.fastq.gz	SM39_3_S39_R1_001.fastq.gz	ERR2685866	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/006/ERR2685866/ERR2685866.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM39	ERS2599917	SAMEA4779972	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM39	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM39_4_S39	group 9	sequencing assay	ERX2700449	SM39_4_S39_R1_001.fastq.gz	SM39_4_S39_R1_001.fastq.gz	ERR2685867	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/007/ERR2685867/ERR2685867.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM39	ERS2599917	SAMEA4779972	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM39	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM39_S39	group 9	sequencing assay	ERX2700449	SM39_S39_R1_001.fastq.gz	SM39_S39_R1_001.fastq.gz	ERR2685868	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/008/ERR2685868/ERR2685868.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	24	hour
SM1	ERS2599918	SAMEA4779973	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM1	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM1_2_S1	group 10	sequencing assay	ERX2700450	SM1_2_S1_R1_001.fastq.gz	SM1_2_S1_R1_001.fastq.gz	ERR2685869	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/009/ERR2685869/ERR2685869.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM1	ERS2599918	SAMEA4779973	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM1	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM1_3_S1	group 10	sequencing assay	ERX2700450	SM1_3_S1_R1_001.fastq.gz	SM1_3_S1_R1_001.fastq.gz	ERR2685870	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/000/ERR2685870/ERR2685870.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM1	ERS2599918	SAMEA4779973	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM1	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM1_4_S1	group 10	sequencing assay	ERX2700450	SM1_4_S1_R1_001.fastq.gz	SM1_4_S1_R1_001.fastq.gz	ERR2685871	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/001/ERR2685871/ERR2685871.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM1	ERS2599918	SAMEA4779973	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM1	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM1_S1	group 10	sequencing assay	ERX2700450	SM1_S1_R1_001.fastq.gz	SM1_S1_R1_001.fastq.gz	ERR2685872	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/002/ERR2685872/ERR2685872.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM2	ERS2599919	SAMEA4779974	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM2	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM2_2_S2	group 11	sequencing assay	ERX2700451	SM2_2_S2_R1_001.fastq.gz	SM2_2_S2_R1_001.fastq.gz	ERR2685873	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685873/ERR2685873.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM2	ERS2599919	SAMEA4779974	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM2	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM2_3_S2	group 11	sequencing assay	ERX2700451	SM2_3_S2_R1_001.fastq.gz	SM2_3_S2_R1_001.fastq.gz	ERR2685874	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685874/ERR2685874.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM2	ERS2599919	SAMEA4779974	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM2	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM2_4_S2	group 11	sequencing assay	ERX2700451	SM2_4_S2_R1_001.fastq.gz	SM2_4_S2_R1_001.fastq.gz	ERR2685875	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685875/ERR2685875.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM2	ERS2599919	SAMEA4779974	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM2	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM2_S2	group 11	sequencing assay	ERX2700451	SM2_S2_R1_001.fastq.gz	SM2_S2_R1_001.fastq.gz	ERR2685876	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/006/ERR2685876/ERR2685876.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM3	ERS2599920	SAMEA4779975	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM3	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM3_2_S3	group 12	sequencing assay	ERX2700452	SM3_2_S3_R1_001.fastq.gz	SM3_2_S3_R1_001.fastq.gz	ERR2685877	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/007/ERR2685877/ERR2685877.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM3	ERS2599920	SAMEA4779975	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM3	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM3_3_S3	group 12	sequencing assay	ERX2700452	SM3_3_S3_R1_001.fastq.gz	SM3_3_S3_R1_001.fastq.gz	ERR2685878	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/008/ERR2685878/ERR2685878.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM3	ERS2599920	SAMEA4779975	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM3	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM3_4_S3	group 12	sequencing assay	ERX2700452	SM3_4_S3_R1_001.fastq.gz	SM3_4_S3_R1_001.fastq.gz	ERR2685879	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/009/ERR2685879/ERR2685879.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM3	ERS2599920	SAMEA4779975	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM3	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM3_S3	group 12	sequencing assay	ERX2700452	SM3_S3_R1_001.fastq.gz	SM3_S3_R1_001.fastq.gz	ERR2685880	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/000/ERR2685880/ERR2685880.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	brain-derived neurotrophic factor	0.5	hour
SM34	ERS2599921	SAMEA4779976	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM34	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM34_2_S34	group 13	sequencing assay	ERX2700453	SM34_2_S34_R1_001.fastq.gz	SM34_2_S34_R1_001.fastq.gz	ERR2685881	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/001/ERR2685881/ERR2685881.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM34	ERS2599921	SAMEA4779976	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM34	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM34_3_S34	group 13	sequencing assay	ERX2700453	SM34_3_S34_R1_001.fastq.gz	SM34_3_S34_R1_001.fastq.gz	ERR2685882	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/002/ERR2685882/ERR2685882.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM34	ERS2599921	SAMEA4779976	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM34	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM34_4_S34	group 13	sequencing assay	ERX2700453	SM34_4_S34_R1_001.fastq.gz	SM34_4_S34_R1_001.fastq.gz	ERR2685883	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685883/ERR2685883.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM34	ERS2599921	SAMEA4779976	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM34	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM34_S34	group 13	sequencing assay	ERX2700453	SM34_S34_R1_001.fastq.gz	SM34_S34_R1_001.fastq.gz	ERR2685884	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685884/ERR2685884.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM35	ERS2599922	SAMEA4779977	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM35	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM35_2_S35	group 14	sequencing assay	ERX2700454	SM35_2_S35_R1_001.fastq.gz	SM35_2_S35_R1_001.fastq.gz	ERR2685885	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685885/ERR2685885.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM35	ERS2599922	SAMEA4779977	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM35	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM35_3_S35	group 14	sequencing assay	ERX2700454	SM35_3_S35_R1_001.fastq.gz	SM35_3_S35_R1_001.fastq.gz	ERR2685886	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/006/ERR2685886/ERR2685886.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM35	ERS2599922	SAMEA4779977	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM35	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM35_4_S35	group 14	sequencing assay	ERX2700454	SM35_4_S35_R1_001.fastq.gz	SM35_4_S35_R1_001.fastq.gz	ERR2685887	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/007/ERR2685887/ERR2685887.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM35	ERS2599922	SAMEA4779977	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM35	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM35_S35	group 14	sequencing assay	ERX2700454	SM35_S35_R1_001.fastq.gz	SM35_S35_R1_001.fastq.gz	ERR2685888	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/008/ERR2685888/ERR2685888.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM36	ERS2599923	SAMEA4779978	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM36	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM36_2_S36	group 15	sequencing assay	ERX2700455	SM36_2_S36_R1_001.fastq.gz	SM36_2_S36_R1_001.fastq.gz	ERR2685889	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/009/ERR2685889/ERR2685889.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM36	ERS2599923	SAMEA4779978	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM36	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM36_3_S36	group 15	sequencing assay	ERX2700455	SM36_3_S36_R1_001.fastq.gz	SM36_3_S36_R1_001.fastq.gz	ERR2685890	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/000/ERR2685890/ERR2685890.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM36	ERS2599923	SAMEA4779978	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM36	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM36_4_S36	group 15	sequencing assay	ERX2700455	SM36_4_S36_R1_001.fastq.gz	SM36_4_S36_R1_001.fastq.gz	ERR2685891	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/001/ERR2685891/ERR2685891.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM36	ERS2599923	SAMEA4779978	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM36	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM36_S36	group 15	sequencing assay	ERX2700455	SM36_S36_R1_001.fastq.gz	SM36_S36_R1_001.fastq.gz	ERR2685892	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/002/ERR2685892/ERR2685892.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	12	hour
SM22	ERS2599924	SAMEA4779979	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM22	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM22_2_S22	group 16	sequencing assay	ERX2700456	SM22_2_S22_R1_001.fastq.gz	SM22_2_S22_R1_001.fastq.gz	ERR2685893	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/003/ERR2685893/ERR2685893.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	2	hour
SM22	ERS2599924	SAMEA4779979	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM22	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM22_3_S22	group 16	sequencing assay	ERX2700456	SM22_3_S22_R1_001.fastq.gz	SM22_3_S22_R1_001.fastq.gz	ERR2685894	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/004/ERR2685894/ERR2685894.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	2	hour
SM22	ERS2599924	SAMEA4779979	Homo sapiens	H9	normal	wild type genotype	embryo	embryonic stem cell	neuron	cell	P-MTAB-76660	P-MTAB-76661	P-MTAB-76655	P-MTAB-76656	P-MTAB-76657	SM22	RNA	SINGLE	PolyA	TRANSCRIPTOMIC	RNA-Seq	first strand	P-MTAB-76658	Cardiff University Genomic Hub	SM22_4_S22	group 16	sequencing assay	ERX2700456	SM22_4_S22_R1_001.fastq.gz	SM22_4_S22_R1_001.fastq.gz	ERR2685895	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR268/005/ERR2685895/ERR2685895.fastq.gz	P-MTAB-76659	raw_counts.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-6975/E-MTAB-6975.processed.1.zip	none	2	hour
